"","group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"69","all","q19p","graded","a1",69,2.82324828339293,-Inf,Inf,FALSE,"none",NA,NA
"70","all","q19p","graded","a2",70,0,-Inf,Inf,FALSE,"none",NA,NA
"71","all","q19p","graded","d1",71,-0.747144819914777,-Inf,Inf,FALSE,"none",NA,NA
"72","all","q19p","graded","d2",72,-3.46794272882042,-Inf,Inf,FALSE,"none",NA,NA
"73","all","q20p","graded","a1",73,2.19181106499277,-Inf,Inf,FALSE,"none",NA,NA
"74","all","q20p","graded","a2",74,0,-Inf,Inf,FALSE,"none",NA,NA
"75","all","q20p","graded","d1",75,-2.26229095083766,-Inf,Inf,FALSE,"none",NA,NA
"76","all","q20p","graded","d2",76,-4.49487736470529,-Inf,Inf,FALSE,"none",NA,NA
"77","all","GPT1","graded","a1",77,1.80730886895996,-Inf,Inf,TRUE,"none",NA,NA
"78","all","GPT1","graded","a2",78,4.36080440450776,-Inf,Inf,TRUE,"none",NA,NA
"79","all","GPT1","graded","d1",79,0.224888062446748,-Inf,Inf,TRUE,"none",NA,NA
"80","all","GPT1","graded","d2",80,-7.74158621591844,-Inf,Inf,TRUE,"none",NA,NA
"81","all","GPT1","graded","d3",81,-10.0003093364243,-Inf,Inf,TRUE,"none",NA,NA
"82","all","GPT1","graded","d4",82,-12.0456659541732,-Inf,Inf,TRUE,"none",NA,NA
"83","all","GPT2","graded","a1",83,1.87917359784799,-Inf,Inf,TRUE,"none",NA,NA
"84","all","GPT2","graded","a2",84,4.96132209680458,-Inf,Inf,TRUE,"none",NA,NA
"85","all","GPT2","graded","d1",85,3.49901363363404,-Inf,Inf,TRUE,"none",NA,NA
"86","all","GPT2","graded","d2",86,-1.51991563252093,-Inf,Inf,TRUE,"none",NA,NA
"87","all","GPT2","graded","d3",87,-8.30472752677487,-Inf,Inf,TRUE,"none",NA,NA
"88","all","GPT3","graded","a1",88,1.77639354127247,-Inf,Inf,TRUE,"none",NA,NA
"89","all","GPT3","graded","a2",89,5.18084276858347,-Inf,Inf,TRUE,"none",NA,NA
"90","all","GPT3","graded","d1",90,3.44858049929817,-Inf,Inf,TRUE,"none",NA,NA
"91","all","GPT3","graded","d2",91,-2.65573264857054,-Inf,Inf,TRUE,"none",NA,NA
"92","all","GPT3","graded","d3",92,-6.1480458920223,-Inf,Inf,TRUE,"none",NA,NA
"93","all","GPT4","graded","a1",93,1.30928101728602,-Inf,Inf,TRUE,"none",NA,NA
"94","all","GPT4","graded","a2",94,4.09460948394336,-Inf,Inf,TRUE,"none",NA,NA
"95","all","GPT4","graded","d1",95,-1.23208194705347,-Inf,Inf,TRUE,"none",NA,NA
"96","all","GPT4","graded","d2",96,-7.65531777047803,-Inf,Inf,TRUE,"none",NA,NA
"97","all","GPT4","graded","d3",97,-11.2533062291434,-Inf,Inf,TRUE,"none",NA,NA
"98","all","GPT5","graded","a1",98,0.61499600651143,-Inf,Inf,TRUE,"none",NA,NA
"99","all","GPT5","graded","a2",99,2.17458923524152,-Inf,Inf,TRUE,"none",NA,NA
"100","all","GPT5","graded","d1",100,5.77223933605345,-Inf,Inf,TRUE,"none",NA,NA
"101","all","GPT5","graded","d2",101,3.46535148341347,-Inf,Inf,TRUE,"none",NA,NA
"102","all","GPT5","graded","d3",102,0.90133030120648,-Inf,Inf,TRUE,"none",NA,NA
"103","all","GPT5","graded","d4",103,-2.71406922350205,-Inf,Inf,TRUE,"none",NA,NA
"104","all","GPT6","graded","a1",104,0.86471343219653,-Inf,Inf,TRUE,"none",NA,NA
"105","all","GPT6","graded","a2",105,2.38078493201731,-Inf,Inf,TRUE,"none",NA,NA
"106","all","GPT6","graded","d1",106,3.2382018349893,-Inf,Inf,TRUE,"none",NA,NA
"107","all","GPT6","graded","d2",107,0.686462459835682,-Inf,Inf,TRUE,"none",NA,NA
"108","all","GPT6","graded","d3",108,-2.02820682237194,-Inf,Inf,TRUE,"none",NA,NA
"109","all","GPT6","graded","d4",109,-5.52999373740527,-Inf,Inf,TRUE,"none",NA,NA
"110","all","GPT7","graded","a1",110,1.75844149639507,-Inf,Inf,TRUE,"none",NA,NA
"111","all","GPT7","graded","a2",111,5.05657204673538,-Inf,Inf,TRUE,"none",NA,NA
"112","all","GPT7","graded","d1",112,3.24543918278521,-Inf,Inf,TRUE,"none",NA,NA
"113","all","GPT7","graded","d2",113,-2.23721924775543,-Inf,Inf,TRUE,"none",NA,NA
"114","all","GPT7","graded","d3",114,-8.35149617767626,-Inf,Inf,TRUE,"none",NA,NA
"115","all","GPT7","graded","d4",115,-13.2774933589331,-Inf,Inf,TRUE,"none",NA,NA
"116","all","GPT8","graded","a1",116,1.32591536721979,-Inf,Inf,TRUE,"none",NA,NA
"117","all","GPT8","graded","a2",117,3.90209330599042,-Inf,Inf,TRUE,"none",NA,NA
"118","all","GPT8","graded","d1",118,1.65168139988964,-Inf,Inf,TRUE,"none",NA,NA
"119","all","GPT8","graded","d2",119,-3.07599710580204,-Inf,Inf,TRUE,"none",NA,NA
"120","all","GPT8","graded","d3",120,-6.88872383765518,-Inf,Inf,TRUE,"none",NA,NA
"121","all","GPT9","graded","a1",121,0.946171580689121,-Inf,Inf,TRUE,"none",NA,NA
"122","all","GPT9","graded","a2",122,2.56036624047071,-Inf,Inf,TRUE,"none",NA,NA
"123","all","GPT9","graded","d1",123,0.859879455512176,-Inf,Inf,TRUE,"none",NA,NA
"124","all","GPT9","graded","d2",124,-3.07041809166766,-Inf,Inf,TRUE,"none",NA,NA
"125","all","GPT9","graded","d3",125,-4.95598176863134,-Inf,Inf,TRUE,"none",NA,NA
"126","all","GPT10","graded","a1",126,2.14847833821437,-Inf,Inf,TRUE,"none",NA,NA
"127","all","GPT10","graded","a2",127,5.7236133575413,-Inf,Inf,TRUE,"none",NA,NA
"128","all","GPT10","graded","d1",128,1.5069623825151,-Inf,Inf,TRUE,"none",NA,NA
"129","all","GPT10","graded","d2",129,-2.9095980842725,-Inf,Inf,TRUE,"none",NA,NA
"130","all","GPT10","graded","d3",130,-8.54634524392114,-Inf,Inf,TRUE,"none",NA,NA
"131","all","GPT10","graded","d4",131,-13.631778801969,-Inf,Inf,TRUE,"none",NA,NA
"132","all","GROUP","GroupPars","MEAN_1",132,0,-Inf,Inf,FALSE,"none",NA,NA
"133","all","GROUP","GroupPars","MEAN_2",133,0,-Inf,Inf,FALSE,"none",NA,NA
"134","all","GROUP","GroupPars","COV_11",134,1,1e-04,Inf,FALSE,"none",NA,NA
"135","all","GROUP","GroupPars","COV_21",135,0,-Inf,Inf,FALSE,"none",NA,NA
"136","all","GROUP","GroupPars","COV_22",136,1,1e-04,Inf,FALSE,"none",NA,NA
