"GPT_Q1","GPT_Q2","GPT_Q3","GPT_Q4","GPT_Q5","GPT_Q6","person","rater"
3,2,3,3,2,3,50,3
2,2,2,3,2,1,51,1
1,0,1,2,0,1,51,2
3,2,3,4,1,3,51,3
2,1,2,2,1,2,52,1
1,0,1,1,0,1,52,2
3,2,3,3,1,3,52,3
2,2,2,2,1,2,53,1
1,1,2,2,0,1,53,2
3,3,3,3,2,3,53,3
2,1,3,2,2,1,54,1
1,1,2,2,1,1,54,2
3,2,4,3,2,3,54,3
3,2,3,2,2,1,55,1
1,1,2,1,0,1,55,2
4,3,3,4,2,3,55,3
2,1,1,0,1,1,56,1
1,0,0,0,0,0,56,2
3,2,2,2,0,2,56,3
2,2,3,2,1,1,57,1
1,1,2,1,1,1,57,2
3,3,4,3,2,3,57,3
1,1,2,2,1,1,58,1
0,0,1,1,0,0,58,2
2,3,3,3,2,2,58,3
2,1,1,1,0,2,59,1
1,1,1,1,0,1,59,2
3,3,2,2,1,2,59,3
2,1,3,2,1,2,60,1
1,0,1,2,1,0,60,2
3,2,3,2,2,3,60,3
2,2,3,2,2,2,61,1
1,1,2,1,1,0,61,2
3,3,3,4,2,3,61,3
2,1,3,2,1,2,62,1
1,0,2,1,0,1,62,2
3,2,4,3,2,3,62,3
3,2,3,2,2,2,63,1
1,0,2,1,1,1,63,2
4,3,4,3,4,3,63,3
2,3,3,3,1,2,64,1
1,1,2,2,0,1,64,2
3,3,3,4,1,3,64,3
2,1,2,2,2,2,65,1
1,0,1,1,0,0,65,2
3,2,3,3,2,3,65,3
3,3,3,2,2,2,66,1
2,1,2,1,1,1,66,2
4,3,4,3,2,3,66,3
2,1,2,1,1,1,67,1
1,0,1,0,0,0,67,2
3,2,3,3,2,2,67,3
3,2,3,2,2,2,68,1
2,1,2,1,1,1,68,2
4,3,4,3,3,3,68,3
3,2,3,3,2,1,69,1
2,1,2,2,1,0,69,2
3,2,4,4,3,2,69,3
2,2,3,2,2,2,70,1
1,1,2,2,1,1,70,2
3,3,3,3,2,3,70,3
2,2,2,3,2,2,71,1
1,1,1,1,1,1,71,2
3,3,2,3,3,2,71,3
3,2,3,2,2,1,72,1
2,1,2,2,1,0,72,2
4,3,4,3,3,2,72,3
2,1,2,2,1,2,73,1
1,0,1,1,0,0,73,2
3,2,3,3,2,3,73,3
2,2,3,2,2,2,74,1
1,1,2,1,1,1,74,2
3,2,3,3,2,3,74,3
3,2,3,2,1,2,75,1
2,1,2,1,0,1,75,2
3,3,3,3,2,3,75,3
2,2,3,2,1,2,76,1
1,1,2,1,0,1,76,2
3,2,4,3,1,3,76,3
2,2,2,2,0,1,77,1
1,1,1,1,0,0,77,2
3,2,3,3,1,3,77,3
2,2,3,3,2,1,78,1
1,1,2,2,1,0,78,2
3,3,4,4,3,2,78,3
2,2,3,3,2,2,79,1
1,0,2,2,1,1,79,2
3,2,4,4,2,3,79,3
1,2,2,2,1,2,80,1
0,0,1,1,0,0,80,2
3,2,3,3,2,3,80,3
3,2,3,2,1,2,81,1
1,1,1,2,0,1,81,2
3,3,4,3,2,3,81,3
3,2,3,3,2,1,82,1
2,1,1,2,1,1,82,2
4,3,4,4,2,3,82,3
3,2,3,3,2,2,83,1
2,1,2,3,1,1,83,2
4,3,4,4,2,3,83,3
2,1,2,2,1,2,84,1
1,0,1,2,0,1,84,2
3,4,3,3,2,3,84,3
3,2,3,2,2,2,85,1
1,0,1,2,1,1,85,2
3,2,3,4,3,3,85,3
2,3,3,2,3,1,86,1
1,1,2,2,2,1,86,2
3,3,4,3,4,3,86,3
3,2,3,2,1,2,87,1
1,1,1,2,0,1,87,2
3,3,3,3,2,3,87,3
3,2,3,2,2,1,88,1
1,1,2,1,1,1,88,2
4,3,3,3,2,3,88,3
1,2,1,2,1,0,89,1
1,1,1,0,0,1,89,2
3,3,3,3,1,3,89,3
1,0,1,2,0,0,90,1
1,1,1,0,0,1,90,2
3,2,3,3,2,3,90,3
2,2,3,2,2,1,91,1
1,1,2,2,1,1,91,2
3,2,4,3,3,3,91,3
3,2,3,2,2,2,92,1
1,1,1,1,1,1,92,2
3,3,4,4,2,3,92,3
3,2,4,3,2,2,93,1
2,2,3,2,1,1,93,2
4,3,4,4,3,3,93,3
2,1,2,2,1,2,94,1
0,0,1,1,0,0,94,2
3,2,3,3,2,3,94,3
2,2,2,2,2,2,95,1
1,1,1,1,1,1,95,2
3,3,3,3,3,3,95,3
2,2,3,3,2,1,96,1
1,1,2,2,1,1,96,2
3,3,3,3,3,2,96,3
2,2,3,3,2,2,97,1
1,0,1,2,1,1,97,2
3,3,3,3,3,3,97,3
2,1,3,3,2,2,98,1
1,0,2,2,1,1,98,2
3,2,4,4,2,3,98,3
2,1,2,3,3,1,99,1
1,0,1,1,1,1,99,2
3,2,3,3,3,2,99,3
3,3,3,3,3,1,100,1
2,1,2,2,1,0,100,2
4,4,4,4,4,3,100,3
2,1,2,3,2,1,101,1
1,0,1,2,1,1,101,2
3,2,3,3,2,2,101,3
3,2,3,3,2,1,102,1
2,1,2,2,1,1,102,2
4,3,3,4,2,3,102,3
2,2,3,2,2,2,103,1
1,1,2,2,1,1,103,2
3,3,3,3,3,3,103,3
2,1,2,1,1,1,104,1
1,1,1,0,0,0,104,2
3,2,2,3,1,3,104,3
2,1,2,3,1,1,105,1
1,0,1,2,1,0,105,2
3,2,3,3,2,2,105,3
3,2,3,3,2,1,106,1
2,1,2,2,1,1,106,2
3,2,3,3,2,3,106,3
2,3,3,2,1,1,107,1
1,1,2,1,0,0,107,2
3,3,3,3,2,2,107,3
3,2,2,1,2,1,108,1
2,1,1,0,1,1,108,2
3,2,2,3,3,2,108,3
3,2,3,3,2,1,109,1
2,1,2,2,1,1,109,2
4,3,4,4,3,3,109,3
3,2,3,3,2,1,110,1
2,1,2,2,1,1,110,2
3,2,3,3,2,2,110,3
3,3,3,2,2,2,111,1
2,1,2,1,1,1,111,2
4,3,3,4,2,3,111,3
2,2,3,2,3,2,112,1
1,0,2,2,2,1,112,2
3,2,4,3,3,3,112,3
3,2,3,3,2,2,113,1
2,1,2,2,1,1,113,2
4,3,4,4,3,3,113,3
2,1,3,2,1,2,114,1
1,1,2,1,1,1,114,2
3,3,4,4,2,3,114,3
3,2,3,3,2,2,115,1
2,1,2,3,1,1,115,2
3,3,4,4,2,3,115,3
3,2,3,3,1,2,116,1
2,1,2,2,1,1,116,2
4,3,3,3,2,3,116,3
3,2,3,3,2,2,117,1
2,1,2,1,1,1,117,2
4,3,4,4,3,2,117,3
2,2,3,2,1,2,118,1
1,0,1,2,0,1,118,2
3,2,3,3,2,3,118,3
2,2,3,3,2,2,119,1
1,1,2,2,1,1,119,2
3,3,4,4,3,3,119,3
2,2,3,3,2,2,120,1
1,1,2,2,1,1,120,2
3,3,4,4,3,3,120,3
2,1,3,2,2,2,121,1
1,0,2,1,1,0,121,2
3,2,4,3,3,3,121,3
2,2,3,2,1,2,122,1
1,1,2,2,0,1,122,2
3,2,4,3,1,3,122,3
3,2,3,2,1,2,123,1
1,1,1,2,1,1,123,2
3,2,4,3,1,3,123,3
2,1,2,2,1,1,124,1
1,0,1,1,0,0,124,2
3,2,3,3,2,2,124,3
1,2,2,1,2,1,125,1
0,1,1,1,0,0,125,2
2,2,1,2,1,1,125,3
1,0,2,1,1,2,126,1
0,0,0,0,0,0,126,2
2,2,3,3,3,2,126,3
3,2,3,2,1,2,127,1
2,1,2,1,0,1,127,2
4,3,4,3,2,3,127,3
2,2,3,3,1,2,128,1
1,1,2,2,0,2,128,2
3,3,4,4,2,3,128,3
2,2,2,3,2,2,129,1
1,1,1,2,1,1,129,2
3,3,3,3,3,3,129,3
2,2,3,2,1,2,130,1
1,1,2,1,0,1,130,2
3,3,4,4,2,3,130,3
2,2,3,3,2,2,131,1
1,1,2,2,1,1,131,2
3,3,4,4,3,3,131,3
3,2,3,2,3,2,132,1
2,1,2,2,2,1,132,2
4,3,4,3,3,3,132,3
2,2,3,3,2,1,133,1
1,1,2,2,1,1,133,2
3,3,4,4,3,3,133,3
2,2,3,2,2,2,134,1
1,1,2,2,1,1,134,2
3,2,4,3,2,3,134,3
2,2,3,3,2,2,135,1
1,1,1,2,1,1,135,2
3,3,4,4,2,3,135,3
2,2,3,3,1,2,136,1
1,1,2,2,0,1,136,2
3,3,4,4,2,3,136,3
3,2,2,3,2,2,137,1
2,1,1,2,1,1,137,2
4,3,3,4,3,3,137,3
1,2,2,3,2,1,138,1
0,0,1,2,1,0,138,2
3,3,4,4,2,3,138,3
2,3,3,3,2,2,139,1
1,1,2,2,1,1,139,2
3,2,4,4,2,3,139,3
2,1,3,2,2,2,140,1
1,1,2,1,1,0,140,2
3,2,4,3,2,3,140,3
2,1,1,1,0,2,141,1
1,0,1,1,0,0,141,2
3,2,3,3,1,3,141,3
2,3,3,2,2,1,142,1
1,0,1,1,1,0,142,2
3,4,3,3,2,3,142,3
2,2,3,3,2,2,143,1
1,0,1,2,1,0,143,2
3,2,4,4,3,3,143,3
3,2,3,2,1,2,144,1
2,1,2,2,0,1,144,2
3,2,3,3,1,3,144,3
2,1,2,1,0,1,145,1
0,0,1,0,0,0,145,2
3,2,3,3,2,3,145,3
2,1,3,2,2,2,146,1
1,0,1,2,2,0,146,2
3,2,3,3,2,2,146,3
3,2,3,3,2,2,147,1
2,1,2,2,1,1,147,2
4,3,4,4,3,3,147,3
2,1,3,2,1,2,148,1
1,1,2,2,0,1,148,2
3,2,4,3,1,3,148,3
3,2,3,2,2,2,149,1
2,1,2,1,1,1,149,2
3,3,4,3,2,3,149,3
3,3,3,2,2,2,150,1
2,2,2,1,1,1,150,2
4,4,3,3,2,3,150,3
2,2,3,3,2,2,151,1
1,1,2,2,1,1,151,2
3,3,3,3,2,3,151,3
2,1,3,2,2,1,152,1
1,1,2,1,1,1,152,2
3,2,4,4,1,3,152,3
3,2,3,3,2,1,153,1
2,1,2,2,1,1,153,2
3,2,3,3,2,2,153,3
3,2,3,2,1,2,154,1
2,1,1,1,0,1,154,2
4,3,4,3,2,3,154,3
3,2,3,2,2,1,155,1
2,1,2,1,1,1,155,2
4,3,4,3,2,3,155,3
3,2,3,2,1,2,156,1
2,1,2,1,0,1,156,2
3,2,3,3,2,3,156,3
2,1,2,2,1,2,157,1
1,0,1,2,0,1,157,2
3,3,3,3,2,3,157,3
3,2,3,2,2,2,158,1
2,1,2,1,1,1,158,2
4,3,4,3,3,3,158,3
2,2,3,2,2,2,159,1
1,0,1,1,0,1,159,2
3,2,3,3,2,3,159,3
2,2,3,3,2,2,160,1
1,1,2,2,1,1,160,2
3,3,4,4,3,3,160,3
2,2,3,2,2,1,161,1
1,2,2,1,1,1,161,2
3,3,4,4,3,3,161,3
3,2,4,3,2,1,162,1
2,1,3,2,1,1,162,2
4,3,4,4,2,3,162,3
3,2,3,2,1,2,163,1
2,1,2,1,1,1,163,2
4,3,4,3,2,4,163,3
2,2,3,2,1,2,164,1
1,1,2,2,1,1,164,2
3,3,4,3,1,3,164,3
3,3,3,2,2,2,165,1
2,1,2,1,0,1,165,2
4,3,4,3,2,3,165,3
3,2,3,2,1,2,166,1
2,1,2,1,1,1,166,2
4,3,4,3,2,3,166,3
3,2,3,2,2,1,167,1
2,1,2,1,1,1,167,2
4,3,3,4,3,3,167,3
3,2,3,2,2,2,168,1
2,1,2,2,1,1,168,2
4,3,4,3,3,3,168,3
3,2,2,2,2,2,169,1
2,1,1,1,1,1,169,2
3,3,3,3,2,3,169,3
3,2,3,2,2,1,170,1
2,1,2,1,1,1,170,2
3,2,3,3,3,2,170,3
2,3,3,3,2,2,171,1
1,2,1,2,1,1,171,2
3,3,4,4,3,3,171,3
3,2,3,2,2,2,172,1
2,1,2,1,1,1,172,2
4,3,4,3,3,3,172,3
2,3,3,3,2,1,173,1
1,2,2,2,1,1,173,2
3,3,3,3,2,3,173,3
2,3,3,3,2,2,174,1
1,2,1,2,1,1,174,2
3,4,4,4,3,3,174,3
3,2,3,3,2,1,175,1
2,1,2,2,1,1,175,2
4,3,4,4,3,2,175,3
3,2,3,3,2,2,176,1
2,1,1,2,1,1,176,2
3,2,3,3,2,3,176,3
3,2,2,3,2,2,177,1
2,1,1,2,1,1,177,2
4,3,4,3,2,3,177,3
3,2,3,3,2,1,178,1
2,1,2,2,1,1,178,2
4,3,4,4,2,3,178,3
3,2,3,3,3,2,179,1
2,1,2,2,2,1,179,2
4,3,4,4,3,3,179,3
1,1,2,1,1,2,180,1
0,0,1,1,0,0,180,2
3,2,2,3,1,3,180,3
2,2,3,3,2,2,181,1
1,1,2,2,0,1,181,2
3,3,4,4,3,3,181,3
3,2,4,3,2,1,182,1
2,1,3,2,1,1,182,2
4,3,4,3,2,3,182,3
3,2,3,3,2,2,183,1
2,1,2,2,1,1,183,2
4,3,4,4,2,3,183,3
3,2,3,3,2,2,184,1
2,1,2,2,1,1,184,2
3,2,3,3,3,2,184,3
2,2,3,3,2,2,185,1
1,1,2,2,1,1,185,2
3,2,4,4,1,3,185,3
2,2,3,3,2,2,186,1
1,1,2,2,1,1,186,2
3,3,4,4,2,3,186,3
3,2,3,3,2,1,187,1
2,1,2,2,1,1,187,2
4,3,4,4,2,3,187,3
2,2,3,2,1,2,188,1
1,1,2,2,1,1,188,2
3,3,4,3,2,3,188,3
3,2,3,2,2,1,189,1
2,1,2,2,1,1,189,2
3,2,4,3,2,2,189,3
3,2,2,2,2,1,190,1
2,1,1,1,1,1,190,2
3,2,3,3,2,2,190,3
3,2,3,2,2,1,191,1
2,1,1,1,1,1,191,2
3,2,4,3,2,3,191,3
3,3,3,2,2,2,192,1
2,2,2,1,1,1,192,2
4,4,3,3,2,2,192,3
3,2,3,2,2,1,193,1
2,1,1,1,1,1,193,2
3,2,4,3,2,2,193,3
3,2,3,2,1,2,194,1
2,1,2,1,0,1,194,2
3,3,4,3,2,3,194,3
2,2,3,3,2,2,195,1
1,1,2,2,1,1,195,2
3,3,4,4,3,3,195,3
3,2,3,3,2,2,196,1
2,1,2,2,1,1,196,2
3,2,4,4,2,3,196,3
3,2,3,3,2,1,197,1
2,1,2,2,1,0,197,2
4,3,4,4,3,2,197,3
2,2,3,2,2,2,198,1
1,1,2,1,1,1,198,2
3,3,4,4,3,3,198,3
3,2,3,3,2,2,199,1
2,1,2,2,1,1,199,2
4,3,4,4,2,3,199,3
2,2,3,2,3,2,200,1
1,1,2,2,1,1,200,2
3,3,4,3,3,2,200,3
3,2,3,3,2,2,201,1
2,1,2,2,1,1,201,2
3,3,4,4,2,3,201,3
3,2,2,2,1,2,202,1
2,1,1,1,0,1,202,2
4,3,3,3,2,3,202,3
3,2,3,2,2,1,203,1
2,1,1,1,1,1,203,2
4,3,4,3,3,3,203,3
2,2,3,3,2,2,204,1
1,1,2,2,1,1,204,2
3,3,4,4,3,3,204,3
2,2,3,3,2,2,205,1
1,1,2,2,1,1,205,2
3,3,4,4,3,3,205,3
3,2,3,2,2,2,206,1
2,1,2,1,1,1,206,2
4,3,4,3,3,3,206,3
3,2,4,3,2,2,207,1
2,1,3,2,1,0,207,2
4,3,4,4,3,3,207,3
2,2,3,2,1,2,208,1
1,1,2,2,1,1,208,2
3,2,4,3,2,3,208,3
3,2,3,2,2,2,209,1
1,1,1,0,1,1,209,2
3,3,3,3,3,3,209,3
3,2,3,2,1,2,210,1
2,1,1,2,0,1,210,2
3,3,4,3,1,3,210,3
3,2,3,3,2,2,211,1
2,1,2,2,1,1,211,2
4,3,4,4,3,3,211,3
2,1,3,2,2,2,212,1
1,0,2,2,0,1,212,2
3,2,4,3,2,3,212,3
3,2,3,3,2,2,213,1
2,1,2,2,1,1,213,2
4,3,4,4,2,4,213,3
3,2,3,3,2,2,214,1
2,1,2,2,1,1,214,2
3,3,3,3,3,3,214,3
3,3,3,2,3,2,215,1
2,1,2,1,2,1,215,2
4,4,3,3,3,3,215,3
2,2,3,2,2,2,216,1
1,0,2,1,0,1,216,2
3,2,4,3,2,3,216,3
3,2,3,3,2,2,217,1
1,1,2,1,1,1,217,2
4,3,4,4,3,3,217,3
3,2,3,2,2,2,218,1
2,1,2,1,1,1,218,2
3,2,4,3,2,3,218,3
3,2,3,2,2,1,219,1
2,1,2,1,1,0,219,2
4,3,4,3,2,2,219,3
3,2,3,3,2,2,220,1
2,1,2,2,1,1,220,2
4,3,4,4,3,3,220,3
3,2,3,3,2,2,221,1
2,1,2,2,1,1,221,2
4,3,4,4,2,3,221,3
2,2,3,3,3,2,222,1
1,1,2,2,2,1,222,2
3,3,4,4,4,3,222,3
3,2,3,3,2,2,223,1
2,1,2,2,1,1,223,2
4,3,4,4,3,3,223,3
2,2,3,3,2,2,224,1
1,1,2,2,1,1,224,2
3,3,4,4,2,3,224,3
3,2,3,3,2,2,225,1
2,1,2,2,1,1,225,2
3,2,4,4,2,3,225,3
3,2,3,3,2,2,226,1
2,1,2,2,1,1,226,2
4,3,4,4,3,3,226,3
3,2,3,3,2,2,227,1
1,1,2,2,1,1,227,2
4,3,4,4,3,3,227,3
3,2,3,3,2,2,228,1
1,1,2,3,1,1,228,2
4,3,4,4,3,3,228,3
2,2,3,3,2,2,229,1
1,1,2,2,1,1,229,2
3,2,4,4,3,3,229,3
3,2,3,2,2,2,230,1
2,1,1,1,1,1,230,2
4,3,4,3,3,3,230,3
3,2,3,2,2,2,231,1
2,1,2,1,1,0,231,2
4,3,4,3,2,3,231,3
3,2,3,3,2,2,232,1
2,1,2,2,1,1,232,2
3,2,4,4,3,3,232,3
3,2,3,3,2,2,233,1
1,1,1,2,1,1,233,2
3,2,4,4,2,3,233,3
3,2,3,2,2,2,234,1
2,1,2,1,1,1,234,2
4,3,3,3,2,3,234,3
3,2,3,3,2,2,235,1
2,1,2,2,1,1,235,2
3,2,4,4,2,3,235,3
3,2,3,3,2,1,236,1
2,1,2,2,1,1,236,2
4,3,4,4,3,2,236,3
3,2,3,3,2,2,237,1
2,1,2,2,1,1,237,2
4,3,4,4,2,3,237,3
3,2,3,2,2,2,238,1
2,1,2,2,1,1,238,2
4,3,4,3,2,3,238,3
3,2,3,3,2,2,239,1
2,1,2,2,1,1,239,2
3,2,4,3,2,3,239,3
3,2,3,2,2,1,240,1
1,1,1,2,1,0,240,2
4,3,3,3,2,2,240,3
3,2,3,2,2,2,241,1
2,1,2,1,1,1,241,2
3,3,4,3,3,3,241,3
3,2,3,3,2,2,242,1
1,1,2,2,1,1,242,2
4,3,4,4,3,3,242,3
3,2,3,3,2,2,243,1
2,1,2,2,1,1,243,2
4,3,4,4,3,3,243,3
3,2,3,3,2,2,244,1
2,1,2,2,1,2,244,2
4,3,4,4,3,3,244,3
3,2,3,2,2,1,245,1
2,1,2,1,1,1,245,2
4,3,4,3,3,2,245,3
3,2,3,2,1,2,246,1
1,1,2,1,0,1,246,2
3,2,4,3,0,3,246,3
2,2,3,2,2,3,247,1
1,1,2,1,1,1,247,2
3,3,4,3,3,3,247,3
3,2,3,2,2,2,248,1
2,1,1,2,1,1,248,2
4,3,4,3,3,3,248,3
2,2,3,3,2,2,249,1
1,1,1,2,1,1,249,2
3,3,4,4,3,3,249,3
3,2,3,3,2,2,250,1
2,1,2,2,1,1,250,2
3,2,4,3,2,3,250,3
2,2,3,2,1,2,251,1
1,1,1,2,0,0,251,2
3,3,3,3,2,3,251,3
3,2,3,3,2,1,252,1
2,1,2,2,1,1,252,2
3,2,4,3,1,3,252,3
3,2,3,2,2,2,253,1
2,1,2,1,1,1,253,2
4,3,4,3,2,3,253,3
2,2,3,3,2,2,254,1
1,1,1,2,1,1,254,2
3,3,4,4,3,3,254,3
2,2,3,3,2,2,255,1
1,1,1,2,1,1,255,2
3,3,3,4,2,3,255,3
3,2,3,2,2,2,256,1
2,1,2,1,1,1,256,2
3,3,4,3,2,3,256,3
3,2,3,3,2,2,257,1
2,1,2,2,1,1,257,2
3,3,4,4,2,3,257,3
3,2,3,3,2,2,258,1
1,1,2,2,1,1,258,2
4,3,4,4,3,3,258,3
3,2,3,2,2,1,259,1
2,1,2,2,0,1,259,2
4,3,3,3,2,2,259,3
3,2,3,2,2,2,260,1
2,1,2,1,1,1,260,2
4,3,4,3,2,3,260,3
3,2,3,3,2,2,261,1
2,1,2,2,1,1,261,2
3,2,4,4,2,3,261,3
2,2,3,3,2,2,262,1
1,1,2,2,1,1,262,2
3,3,4,4,3,3,262,3
3,2,3,3,2,1,263,1
2,1,2,2,1,1,263,2
3,2,3,3,2,2,263,3
3,2,3,3,2,2,264,1
1,0,1,2,1,1,264,2
4,3,4,4,3,3,264,3
3,2,3,3,2,2,265,1
2,1,2,2,1,1,265,2
4,3,4,4,3,3,265,3
3,2,3,3,2,2,266,1
2,0,2,2,1,1,266,2
4,3,4,4,2,3,266,3
3,2,3,3,2,2,267,1
2,1,1,2,1,0,267,2
4,3,4,4,3,3,267,3
3,2,3,2,2,2,268,1
2,1,2,1,1,1,268,2
4,3,4,3,3,3,268,3
3,2,3,2,2,2,269,1
2,1,2,1,1,1,269,2
3,3,3,3,2,3,269,3
2,3,3,2,2,1,270,1
1,2,2,1,1,0,270,2
3,3,4,3,3,2,270,3
3,2,3,3,2,2,271,1
1,0,1,2,0,0,271,2
3,2,4,4,2,3,271,3
2,2,3,3,2,2,272,1
1,1,2,2,1,1,272,2
3,3,4,4,2,3,272,3
2,2,3,3,2,2,273,1
1,0,1,2,0,0,273,2
3,3,4,4,3,3,273,3
3,2,4,3,2,2,274,1
1,1,2,2,1,1,274,2
3,3,4,4,3,3,274,3
2,2,3,3,2,2,275,1
1,1,2,2,1,1,275,2
3,3,4,4,3,3,275,3
2,2,3,2,2,2,276,1
1,1,2,1,1,1,276,2
3,3,4,3,2,3,276,3
3,2,3,2,2,2,277,1
1,1,2,1,1,1,277,2
4,3,4,3,2,3,277,3
3,2,3,3,2,2,278,1
2,1,1,2,0,1,278,2
4,3,4,4,2,3,278,3
3,2,3,3,2,2,279,1
1,1,2,2,1,1,279,2
4,3,4,4,2,3,279,3
2,2,3,3,2,2,280,1
1,1,2,2,1,1,280,2
3,3,4,4,3,3,280,3
2,2,3,3,1,2,281,1
1,1,2,2,0,1,281,2
3,3,4,4,2,3,281,3
3,2,3,2,1,2,282,1
2,1,2,2,0,1,282,2
3,3,4,3,2,3,282,3
3,2,3,2,2,2,283,1
2,1,3,2,1,1,283,2
3,2,4,3,2,3,283,3
2,2,3,3,2,2,284,1
1,1,2,3,1,1,284,2
3,3,4,4,3,3,284,3
3,2,3,3,2,1,285,1
2,1,2,2,1,1,285,2
4,3,4,4,3,2,285,3
3,2,4,3,2,2,286,1
2,1,2,2,1,1,286,2
4,3,4,3,2,3,286,3
3,2,3,3,1,2,287,1
2,1,2,2,0,1,287,2
4,3,4,4,2,3,287,3
3,2,3,3,2,2,288,1
2,1,2,2,1,1,288,2
4,3,4,4,2,3,288,3
3,2,3,2,2,2,289,1
2,1,1,2,1,1,289,2
3,3,4,4,2,3,289,3
3,2,3,2,2,2,290,1
