q1p,q2p,q3p,q4p,q5p,q6p,q7p,q8p,q9p,q10p,q11p,q12p,q13p,q14p,q15p,q17p,q18p,q19p,q20p,ID,true_theta,theta_hat,tru_th_percentile,age,gender,location,hobby,poss_future_degree,E,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC1a,SC9a,SC1d,SC7d,SC4d,SC3d,Ec,SC8b,Eb,SC4c,SC4b,SC6d,SC5a,SC2b,SC7c,SC5d,SC8a,SC6a,SC5b,SC7a,SC9d,SC3b,SC3a,SC6b,SC9c,SC5c,SC9b,SC2c,SC8c,SC3c,SC7b,Ed,SC1c,SC2a,SC8d,SC4a,Ea,SC1b,SC6c,SC2d,SC10b,SC10a,SC12b,SC11d,SC10d,SC10c,SC11a,SC12c,SC11c,SC11b,SC12d,SC12a
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2953,2.15561385416368,,98,16,female,Alabama,axe throwing,Architecture,Loss.,"In the past week, I threw axes with friends.",axe-throw,Is a bit unpredictable and low.,Dream of designing buildings in the sky.,Feel overwhelmed.,Complicated.,"At night, I often think about my dreams and worries.",Focus on myself.,I should seek support.,Deterior,Bring a slice of joy.,Thrive.,2,3,2,3,1.0,3,3,2,5,3,1,3,4,1,3,4,3,4,4,4,2,3,4,3,3,3,3,3,3,4,2,3,3,4,2,3,3,1,3,2.0,5,5,1,1,4,3,4,3,3,1,1.0,4
1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,2954,2.15703975988734,,98,16,female,Florida,mahjong,Math,Loss.,played mahjong daily.,My parents don’t know that I play mahjong alone.,Is quite low today.,Feel the weight of everything.,I actually feel overwhelmed.,Complicates my life.,play mahjong with friends.,Focus on improving my mental health daily.,I should focus on my happiness.,"Recently, my health has declined.",Bring a slice of joy.,Play mahjong.,3,3,2,2,4.0,3,3,2,5,3,4,3,4,1,3,4,4,4,4,3,2,2,4,4,3,3,2,3,3,3,1,3,3,3,2,4,3,1,3,2.0,2,4,1,1,3,3,4,3,3,1,2.0,3
1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,2956,2.16410142349474,,98,15,female,California,model trains,Engineering Technicians,"The saddest experience I have had happened last summer. I was building a model train layout, which I loved more than anything else. It was my escape, a world where I could create my own adventures. However, that summer, something changed. My best friend, Emily, who always helped me with my trains, suddenly started drifting away. I could feel the distance growing, but I was too scared to ask her what was wrong.

One day, she told me she was moving to another state. It felt like a punch to my gut. Emily was the one person who understood my passion for model trains and the joy they brought me. I remember that day vividly; we sat together in my room, surrounded by tiny miniature landscapes, and she explained how hard it was for her to leave. I felt angry and sad, like everything I had built was falling apart.

After she left, the quietness in my room was unbearable. I tried to work on my trains, but it felt lonely without her. I spent my days feeling lost, and those moments of joy turned into shadows of sadness. I don't think I've ever felt so empty. Losing Emily was a reminder that sometimes, even the things we love the most can’t fill the void left by someone special. That summer changed everything for me, and I’m still trying to find a way to embrace my passion, despite the sadness.",watched trains and felt sad.,My parents don't know that I build model trains,"On most days, my mood feels really heavy.",Escape.,struggle.,Really understands me.,build model train layouts alone.,Build my model train layout for the competition.,Feel better.,Deterior,Slice neatly,Create.,5,3,3,2,4.0,3,3,1,3,3,4,1,4,1,3,3,3,3,4,3,3,4,5,1,3,3,2,3,3,4,1,3,3,3,2,4,4,4,3,2.0,5,5,1,2,4,3,3,3,3,1,2.0,3
1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,2962,2.20000399756298,,98,15,male,Michigan,debating,Food and Nutrition,"The saddest experience I have had happened on my birthday last year. Instead of celebrating with friends, I sat alone in my room, listening to the rain tapping against the window. I had invited my closest friends to my birthday party, but only one showed up. He stayed for a while, but soon left, saying he had to go home. I remember watching him walk away, feeling a heavy weight in my chest. 

At that moment, I felt more isolated than ever. I had always enjoyed debating and discussing ideas with others, but now it seemed no one wanted to hear me out. I thought about how birthdays are supposed to be joyful, surrounded by laughter and good food, yet mine felt like a reminder of my loneliness. I wanted to share delicious treats and experiences, but instead, I sat with a half-eaten cake and memories of past celebrations when laughter filled the room. 

As the days passed, I kept replaying that moment in my mind. I felt like I was drowning in my thoughts while everyone else was living their lives. Sometimes I wonder if pursuing a future in Food and Nutrition might be a way for me to connect with others—to create joy through food. But that day, it felt as if my dreams were slipping away like the rain. I felt trapped between wanting to engage with the world and feeling deeply misunderstood. It remains one of the saddest experiences, a moment that echoes in my thoughts as I struggle to find my place.",debated.,debate.,"On most days, my mood fluctuates.",Dream of escape.,I actually feel overwhelmed.,My family keeps me grounded.,feel overwhelmed and alone.,Focus on debating and improving myself.,Focus.,Deterior,Slice through tough decisions.,Focus on debating and studying.,4,3,3,3,3.0,2,3,1,4,3,4,2,4,1,4,4,3,3,4,5,2,2,3,1,3,3,1,3,3,3,4,3,3,3,1,4,4,3,3,2.0,5,5,1,2,4,3,4,3,3,1,2.0,3
1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,2965,2.22282320679821,,98,16,male,California,farming,Biology,"The saddest experience I have had occurred last summer on my family farm. I had been working tirelessly to prepare for the harvest, nurturing the crops that I had planted with my own hands. When the time came, I was filled with excitement, dreaming of the bountiful fruits of our labor. However, just a few days before the harvest, an unexpected storm hit. The heavy rains and strong winds destroyed most of our crops, leaving behind a field of broken plants and muddy earth.

Standing there in the aftermath, I felt a wave of despair wash over me. The sight of our hard work being washed away felt like a personal failure. I remember thinking of all the hours I had spent in the sun, the dreams I had for the produce, and the disappointment that filled my family’s hearts. Even though I tried to stay positive and help with the replanting, that moment lingered with me. It reminded me of how fragile our efforts can be and how fleeting hope can feel. 

Looking back, this experience taught me about resilience, but it also deepened a sense of sadness that I sometimes carry within me, like a shadow on my heart.",battled my thoughts while tending crops.,hate feeling so alone.,It’s heavy,Feel the world outside.,"I actually enjoy farming, but feel really overwhelmed.",My family understands me.,daydream,Start farming.,I should take better care of myself.,Has been challenging.,Slice vegetables,Farm.,4,3,3,2,2.0,4,3,1,3,3,1,2,4,4,3,3,4,3,3,3,2,4,5,1,3,3,2,3,3,4,1,3,3,5,2,3,4,3,3,3.0,2,4,1,2,3,3,3,3,3,1,2.0,4
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2967,2.23762301880243,,98,16,male,Mississippi,philosophy,Performing Arts,"The saddest experience I have had was during the summer after my freshman year. My friends and I had just finished a movie night, filled with laughter and deep conversations, but I couldn’t shake a heavy feeling that lingered within me. While they were excitedly planning for the upcoming school year, I felt more alone than ever. I watched as they discussed their dreams and aspirations, while thoughts of my own insecurities drowned me.

At that moment, I realized how isolated I felt from everyone, even those I loved. My mind often drifts into dark places that make me question my worth and purpose. It’s as if I’m wearing a mask of happiness, concealing the sadness underneath, and it’s exhausting. 

I sometimes wonder if my passion for philosophy can help me navigate this overwhelming sadness, but the weight of it all feels suffocating. I want to pursue performing arts to express these feelings, yet I struggle to find the light within myself. This disconnect between my dreams and reality creates an unbearable sadness that lingers on.","In the past week, I felt really lost.",think deeply.,Complicated.,Dream big.,I actually feel really alone.,Complicated.,Reflect quietly.,Express my true feelings.,Express my feelings.,Deteriorated quickly,Free.,Explore profound existential questions.,4,4,3,2,1.0,3,3,3,4,3,1,3,4,1,3,3,4,4,4,3,2,4,4,3,3,3,2,3,3,3,1,4,3,3,3,3,4,4,3,2.0,5,5,3,3,4,3,5,3,3,5,2.0,4
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2969,2.26190240158299,,98,16,female,New Mexico,metal detecting,Education,"The saddest experience I have had happened on a day that started out like any other. I grabbed my metal detector, excited to explore the old ghost town just outside of my small New Mexico home. I love the thrill of searching for forgotten treasures, even if it’s just a rusty nail or an old coin. The fresh air and wide-open spaces usually give me a sense of freedom, but on that day, something felt different.

As I wandered through the dusty streets, I noticed an abandoned house. It felt eerily quiet, and that’s when an overwhelming sadness washed over me. I realized it wasn’t just the place itself that was haunting; it was the memories that once filled these spaces. I thought about how people had laughter, love, and dreams here, experiences I often felt were just out of reach for me. 

Sitting alone in the shadow of the crumbling walls, I felt the weight of my depression settle in. The darkness wrapped around me, making it hard to breathe. Even my passion for metal detecting couldn’t lift the heaviness. I longed to share my discoveries, but it felt like no one understood the depth of my feelings. 

That day in the ghost town marked the beginning of my realization that sometimes, the things we search for are not just buried in the ground, but buried deep within ourselves. It remains one of the saddest experiences, a reminder that I have to keep searching for joy amidst the despair.",discovered.,Collect treasures.,Feels heavy.,Dream of buried treasures.,struggle.,"My family feels distant, but supportive.",feel really lonely.,Explore new parks for metal detecting.,Explore.,Has been quite a struggle.,Treasure,Discover new treasures while metal detecting in nature.,3,3,2,3,2.0,3,4,1,4,3,1,3,4,1,3,3,3,4,4,4,2,4,4,3,3,3,1,3,3,4,4,4,3,3,2,3,4,1,3,2.0,4,4,1,2,3,3,4,3,3,1,2.0,3
1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,2976,2.35311526477646,,99,15,female,Colorado,teaching,Engineering Technicians,"The saddest experience I have had happened last summer when I decided to volunteer at a local summer camp for kids. I had always dreamed of being a teacher, and I thought this would be a great way to gain some experience. At first, I was excited, but as the days went by, I began to feel a heaviness in my heart.

One afternoon, I was assigned to work with a young girl named Lily, who was shy and withdrawn. She struggled to make friends and often sat alone during activities. I tried my best to include her, sharing games and stories. However, I noticed the sadness in her eyes mirroring my own. It reminded me of my own feelings of isolation and how hard it can be to reach out when you feel down.

As the camp went on, I learned that Lily had recently lost her mother, and it broke my heart to see the pain she was carrying. I felt helpless, knowing I couldn’t erase her sorrow. In some ways, it felt like my own struggle with depression was intensified by her sadness. I wanted to inspire her, yet I was battling my own demons. That summer taught me that sometimes the most I can do is be there for someone, even when I’m struggling myself. Though it was a profoundly sad experience, it also deepened my understanding of empathy and connection.","In the past week, I felt overwhelmed but stayed busy with teaching and homework, mostly.",My parents don’t know that I struggle inside daily.,"On most days, my mood feels heavy.",...imagine a world where my dreams can soar.,I actually understand.,complicated.,overthink,Feel better.,Reach out for some support.,Deteriorated quickly,The knife on the table can slice dreams.,Focus on teaching.,4,3,2,3,1.0,3,3,2,4,3,1,3,3,4,3,2,4,4,1,4,2,4,5,4,3,3,2,3,3,4,4,3,3,4,3,3,4,2,3,3.0,5,5,1,5,4,3,5,3,3,4,2.0,3
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2979,2.40458325806089,,99,15,male,Connecticut,teaching,Architecture,"The saddest experience I have had occurred last year, during what was supposed to be a happy time for my family. My little brother, who is only ten, started to struggle in school. He used to be so bright and full of energy, but suddenly, he became withdrawn and quiet. It was heartbreaking for me to watch someone I adore go through such a tough time.

I tried to comfort him, offering to help with homework or just hang out, but it felt like there was a wall between us. I felt helpless. I could see that our parents were worried, but they didn't seem to know how to reach him. This made me realize how much pressure we all carry, and in a way, it mirrored my struggles. Inside, I was fighting my own battles with feelings of sadness and isolation, while trying to be the supportive brother he needed.

One night, as I lay awake staring at the ceiling, it hit me hard—my brother wasn’t just struggling with school; he was feeling lonely and anxious. I wanted so badly to make things better for him. I wanted to tell him that it’s okay to feel sad and that he is not alone. That experience taught me the importance of connection and communication. I wanted to be a teacher, to help others. But honestly, seeing my brother in pain reminded me how deeply sadness can touch our lives. It made me wish for a brighter future for both of us.",battled my thoughts every day.,My parents don't know that I struggle daily.,"On most days, my mood feels heavy.",Feel the weight.,"I actually enjoy helping others, despite my own struggles.","My family understands my struggles, mostly.","At night, I often design my dream buildings.",Focus on learning.,Talk to someone trusted.,Has been challenging.,Slice bread,Focus on teaching others and exploring architecture.,5,3,4,1,4.0,3,3,1,3,3,4,2,4,4,3,3,3,3,3,3,2,4,5,2,3,3,1,3,3,4,1,3,3,4,2,4,4,4,3,3.0,2,4,1,2,3,3,3,3,3,1,2.0,3
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2980,2.43159913509081,,99,15,female,South Carolina,gardening,Economics,Loss.,spent hours gardening and felt really down.,want to escape.,is uncertain.,"Dream of vibrant gardens and a brighter, hopeful tomorrow.",I actually find peace in my garden.,"My family supports me, but struggles with understanding.",tend my garden.,Start my own garden.,I should garden more.,Deteriorated quickly,Heal,Plant flowers.,4,3,3,2,1.0,3,3,1,5,3,1,3,3,3,3,1,3,3,1,3,2,3,4,2,3,3,1,3,3,3,1,3,3,4,2,2,3,4,3,4.0,5,5,1,3,4,3,5,3,3,1,2.0,3
1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,2981,2.43585768119678,,99,16,male,Washington,surfing,Kinesiology and Physical Therapy,"The saddest experience I have had happened last summer when I lost my closest friend, Jake. We had been inseparable since elementary school, bonding over our shared love for surfing. We spent countless weekends riding the waves at our local beach in Washington, feeling alive and carefree. But everything changed one fateful night.

Jake was driving home after a late surf session when he lost control of his car and crashed. I remember getting the call from another friend. My heart sank as I listened to the words: “Jake’s gone.” It felt like time had stopped. I couldn’t comprehend it; I kept hoping it was just some terrible mistake. But deep down, I knew it was real. 

The days that followed were a blur of grief and disbelief. I remember sitting alone on the beach, staring at the ocean that we once rode together. The waves seemed taller, the sun brighter, but everything felt so empty without him. Surfing, once my refuge, became bittersweet. I’d paddle out with my board, looking for a wave but feeling Jake’s absence with every swell. 

As the summer progressed, the weight of my sadness only grew heavier. I found myself withdrawing from friends and activities I once loved. I felt trapped in a dark space that felt impossible to escape. Jake had always been the one to pull me out of tough times, and now, without him, I felt lost. 

It’s been hard since then, but I've learned to cope with my feelings slowly. I know I’ll carry this sadness, but I hope to honor Jake by pursuing my dreams in kinesiology and helping others as he would have wanted me to. Surfing again is a goal, as I know Jake would want me to catch those waves.","In the past week, I felt overwhelmed.",leave the house to surf when I feel overwhelmed.,"On most days, my mood feels heavy and drained.","Dream of the waves, wishing I could escape my thoughts.",I actually find peace when I surf.,"Is always there, mostly.",surf.,Focus on my surfboard.,I should focus on my mental health daily.,Declined.,Slice through obstacles.,Surf and relax.,4,3,3,2,3.0,3,3,1,4,4,4,2,3,2,3,1,3,3,1,3,2,4,5,2,3,3,3,3,3,4,1,4,3,3,2,5,4,3,3,2.0,5,5,1,1,4,3,4,3,3,2,2.0,3
